2025-04-20 10:39:49 error: [GET] /api/employees/getEmployee/0 >> StatusCode:: 404, Message:: Employee not found
2025-04-20 11:51:27 error: [GET] /api/employees/getEmployee/0 >> StatusCode:: 404, Message:: Employee not found
2025-04-20 11:51:28 error: [GET] /api/employees/getEmployee/0 >> StatusCode:: 404, Message:: Employee not found
2025-04-20 11:52:54 error: [GET] /api/employees/getEmployee/0 >> StatusCode:: 404, Message:: Employee not found
2025-04-20 11:53:13 error: [GET] /api/employees/getEmployee/0 >> StatusCode:: 404, Message:: Employee not found
2025-04-20 11:53:16 error: [GET] /api/employees/getEmployee/0 >> StatusCode:: 404, Message:: Employee not found
2025-04-20 11:54:02 error: [GET] /api/employees/getEmployee/0 >> StatusCode:: 404, Message:: Employee not found
2025-04-20 11:54:07 error: [GET] /api/employees/getEmployee/0 >> StatusCode:: 404, Message:: Employee not found
2025-04-20 11:54:07 error: [GET] /api/employees/getEmployee/0 >> StatusCode:: 404, Message:: Employee not found
2025-04-20 11:54:13 error: [GET] /api/employees/getEmployee/0 >> StatusCode:: 404, Message:: Employee not found
2025-04-20 11:54:13 error: [GET] /api/employees/getEmployee/0 >> StatusCode:: 404, Message:: Employee not found
2025-04-20 11:55:56 error: [GET] /api/employees/getEmployee/0 >> StatusCode:: 404, Message:: Employee not found
2025-04-20 11:55:56 error: [GET] /api/employees/getEmployee/0 >> StatusCode:: 404, Message:: Employee not found
2025-04-20 12:14:44 error: [GET] /api/employees/getEmployee/0 >> StatusCode:: 404, Message:: Employee not found
2025-04-20 12:18:02 error: [GET] /api/employees/getEmployee/0 >> StatusCode:: 404, Message:: Employee not found
2025-04-20 12:25:12 error: [GET] /api/employees/getEmployee/0 >> StatusCode:: 404, Message:: Employee not found
2025-04-20 12:38:12 error: [GET] /api/employees/getEmployee/0 >> StatusCode:: 404, Message:: Employee not found
2025-04-20 12:38:22 error: [GET] /api/employees/getEmployee/0 >> StatusCode:: 404, Message:: Employee not found
2025-04-20 12:47:07 error: [GET] /api/employees/getEmployee/0 >> StatusCode:: 404, Message:: Employee not found
2025-04-20 12:47:17 error: [GET] /api/employees/getEmployee/0 >> StatusCode:: 404, Message:: Employee not found
2025-04-20 12:47:42 error: [GET] /api/employees/getEmployee/0 >> StatusCode:: 404, Message:: Employee not found
2025-04-20 12:54:28 error: [GET] /api/employees/getEmployee/0 >> StatusCode:: 404, Message:: Employee not found
2025-04-20 12:55:36 error: [GET] /api/employees/getEmployee/0 >> StatusCode:: 404, Message:: Employee not found
2025-04-20 12:56:56 error: [GET] /api/employees/getEmployee/0 >> StatusCode:: 404, Message:: Employee not found
2025-04-20 12:57:00 error: [GET] /api/employees/getEmployee/0 >> StatusCode:: 404, Message:: Employee not found
2025-04-20 12:57:27 error: [GET] /api/employees/getEmployee/0 >> StatusCode:: 404, Message:: Employee not found
2025-04-20 12:57:37 error: [GET] /api/employees/getEmployee/0 >> StatusCode:: 404, Message:: Employee not found
2025-04-20 12:58:21 error: [GET] /api/employees/getEmployee/0 >> StatusCode:: 404, Message:: Employee not found
2025-04-20 12:59:07 error: [GET] /api/employees/getEmployee/0 >> StatusCode:: 404, Message:: Employee not found
2025-04-20 12:59:15 error: [GET] /api/employees/getEmployee/0 >> StatusCode:: 404, Message:: Employee not found
2025-04-20 12:59:19 error: [GET] /api/employees/getEmployee/0 >> StatusCode:: 404, Message:: Employee not found
2025-04-20 12:59:33 error: [GET] /api/employees/getEmployee/0 >> StatusCode:: 404, Message:: Employee not found
2025-04-20 13:00:07 error: [GET] /api/employees/getEmployee/0 >> StatusCode:: 404, Message:: Employee not found
2025-04-20 13:00:43 error: [GET] /api/employees/getEmployee/0 >> StatusCode:: 404, Message:: Employee not found
2025-04-20 13:00:47 error: [GET] /api/employees/getEmployee/0 >> StatusCode:: 404, Message:: Employee not found
2025-04-20 13:01:00 error: [GET] /api/employees/getEmployee/0 >> StatusCode:: 404, Message:: Employee not found
2025-04-20 13:01:14 error: [GET] /api/employees/getEmployee/0 >> StatusCode:: 404, Message:: Employee not found
2025-04-20 13:01:27 error: [GET] /api/employees/getEmployee/0 >> StatusCode:: 404, Message:: Employee not found
2025-04-20 13:01:34 error: [GET] /api/employees/getEmployee/0 >> StatusCode:: 404, Message:: Employee not found
2025-04-20 13:04:10 error: [GET] /api/employees/getEmployee/0 >> StatusCode:: 404, Message:: Employee not found
2025-04-20 13:08:06 error: [GET] /api/employees/getEmployee/0 >> StatusCode:: 404, Message:: Employee not found
2025-04-20 13:08:14 error: [GET] /api/employees/getEmployee/0 >> StatusCode:: 404, Message:: Employee not found
2025-04-20 13:12:25 error: [GET] /api/employees/getEmployee/0 >> StatusCode:: 404, Message:: Employee not found
2025-04-20 13:12:40 error: [GET] /api/employees/getEmployee/0 >> StatusCode:: 404, Message:: Employee not found
2025-04-20 13:22:27 error: [GET] /api/employees/getEmployee/0 >> StatusCode:: 404, Message:: Employee not found
2025-04-20 13:23:31 error: [GET] /api/employees/getEmployee/0 >> StatusCode:: 404, Message:: Employee not found
2025-04-20 13:24:10 error: [GET] /api/employees/getEmployee/0 >> StatusCode:: 404, Message:: Employee not found
2025-04-20 13:24:10 error: [GET] /api/employees/getEmployee/0 >> StatusCode:: 404, Message:: Employee not found
2025-04-20 13:25:33 error: [GET] /api/employees/getEmployee/0 >> StatusCode:: 404, Message:: Employee not found
2025-04-20 13:28:38 error: [GET] /api/employees/getEmployee/0 >> StatusCode:: 404, Message:: Employee not found
2025-04-20 13:28:56 error: [GET] /api/employees/getEmployee/0 >> StatusCode:: 404, Message:: Employee not found
2025-04-20 13:29:06 error: [GET] /api/employees/getEmployee/0 >> StatusCode:: 404, Message:: Employee not found
2025-04-20 13:29:12 error: [GET] /api/employees/getEmployee/0 >> StatusCode:: 404, Message:: Employee not found
2025-04-20 13:29:25 error: [GET] /api/employees/getEmployee/0 >> StatusCode:: 404, Message:: Employee not found
2025-04-20 13:29:26 error: [GET] /api/employees/getEmployee/0 >> StatusCode:: 404, Message:: Employee not found
2025-04-20 13:29:26 error: [GET] /api/employees/getEmployee/0 >> StatusCode:: 404, Message:: Employee not found
2025-04-20 13:32:41 error: [GET] /api/employees/getEmployee/0 >> StatusCode:: 404, Message:: Employee not found
2025-04-20 13:40:39 error: [GET] /api/employees/getEmployee/0 >> StatusCode:: 404, Message:: Employee not found
2025-04-20 13:43:01 error: [GET] /api/employees/getEmployee/0 >> StatusCode:: 404, Message:: Employee not found
2025-04-20 13:47:07 error: [GET] /api/employees/getEmployee/0 >> StatusCode:: 404, Message:: Employee not found
2025-04-20 13:47:07 error: [GET] /api/employees/getEmployee/0 >> StatusCode:: 404, Message:: Employee not found
2025-04-20 13:47:26 error: [GET] /api/employees/getEmployee/0 >> StatusCode:: 404, Message:: Employee not found
2025-04-20 13:47:26 error: [GET] /api/employees/getEmployee/0 >> StatusCode:: 404, Message:: Employee not found
2025-04-20 13:47:30 error: [GET] /api/employees/getEmployee/0 >> StatusCode:: 404, Message:: Employee not found
2025-04-20 14:12:34 error: [GET] /api/employees/getEmployee/0 >> StatusCode:: 404, Message:: Employee not found
2025-04-20 14:16:14 error: [GET] /api/employees/getEmployee/0 >> StatusCode:: 404, Message:: Employee not found
2025-04-20 14:26:08 error: [GET] /api/employees/getEmployee/0 >> StatusCode:: 404, Message:: Employee not found
2025-04-20 14:28:25 error: [GET] /api/employees/getEmployee/0 >> StatusCode:: 404, Message:: Employee not found
2025-04-20 14:48:52 error: [GET] /api/employees/getEmployee/0 >> StatusCode:: 404, Message:: Employee not found
2025-04-20 14:49:36 error: [GET] /api/employees/getEmployee/0 >> StatusCode:: 404, Message:: Employee not found
2025-04-20 15:06:46 error: [GET] /api/employees/getNumberOfAssignedEmployees >> StatusCode:: 500, Message:: this.employeeService.getNumberOfAssignedEmployees is not a function
2025-04-20 15:06:46 error: [GET] /api/employees/getNumberOfAssignedEmployees >> StatusCode:: 500, Message:: this.employeeService.getNumberOfAssignedEmployees is not a function
2025-04-20 15:06:47 error: [GET] /api/tasks/getProjectHoursSummary >> StatusCode:: 400, Message:: Error getting all projects hours
2025-04-20 15:06:47 error: [GET] /api/tasks/getProjectHoursSummary >> StatusCode:: 400, Message:: Error getting all projects hours
2025-04-20 15:09:27 error: [GET] /api/employees/getNumberOfAssignedEmployees >> StatusCode:: 500, Message:: this.employeeService.getNumberOfAssignedEmployees is not a function
2025-04-20 15:09:28 error: [GET] /api/employees/getNumberOfAssignedEmployees >> StatusCode:: 500, Message:: this.employeeService.getNumberOfAssignedEmployees is not a function
2025-04-20 15:09:29 error: [GET] /api/tasks/getProjectHoursSummary >> StatusCode:: 400, Message:: Error getting all projects hours
2025-04-20 15:09:29 error: [GET] /api/tasks/getProjectHoursSummary >> StatusCode:: 400, Message:: Error getting all projects hours
2025-04-20 15:18:24 error: [GET] /api/employees/getEmployee/0 >> StatusCode:: 404, Message:: Employee not found
2025-04-20 15:24:05 error: [GET] /api/employees/getEmployee/0 >> StatusCode:: 404, Message:: Employee not found
2025-04-20 15:25:11 error: [GET] /api/employees/getEmployee/0 >> StatusCode:: 404, Message:: Employee not found
